,Same,Different,Same_RT,Different_RT,age,gender,q1,q2,q3,q4,q5,q6,q7,q8,q9,WorkLocation
179,8,18,4124.477778,3909.4875,21,female,3,0,5,5,1,3,3,1,100,Home
180,15,15,3155.22,2472.953333,21,male,5,5,4,5,3,2,4,3,98,Unemployed
181,15,14,2843.342857,2507.666667,21,male,4,5,5,2,1,2,4,4,66,Unemployed
182,20,17,3958.5,3488.735,18,male,5,4,6,5,0,3,5,5,88,Unemployed
183,14,14,3846.7,6335.942857,29,female,6,5,5,5,2,2,5,3,66,Office
184,18,9,1731.244444,1835.977778,24,female,4,2,5,6,1,3,4,1,4,Unemployed
185,5,15,2717.273333,2227.74,39,male,5,6,6,6,2,2,6,5,93,Office
186,18,11,3911.590909,4746.6,27,female,0,4,0,1,0,0,1,0,11,Home
187,11,11,7861.963636,6068.390909,28,male,6,6,6,6,6,6,6,6,87,Unemployed
188,15,14,9161.95,8361.593333,25,male,6,6,6,6,0,0,6,6,100,Home
189,18,15,3059.206667,2566.561111,26,female,6,6,6,6,0,1,6,5,88,Home
190,12,14,1566.571429,1665.075,23,male,6,6,1,4,1,1,3,4,61,Office
191,7,20,4317.78025,14055.39357,33,female,5,4,6,5,0,4,5,6,89,Home
192,16,11,8785.245455,8258.1875,22,female,2,5,6,6,1,5,6,6,89,Home
193,13,15,4471.933333,6257.153846,45,male,2,1,1,4,5,5,1,1,21,Office
194,15,17,7005.211765,7975.113333,20,female,5,6,6,6,3,2,5,3,77,Unemployed
195,15,19,6960.568421,6737.106667,23,female,6,5,6,4,3,3,6,3,65,Unemployed
196,19,17,8313.352941,6975.315789,26,male,4,1,6,5,0,1,4,2,44,Unemployed
197,14,6,6672.766667,7570.014286,37,female,4,6,6,6,4,4,4,5,88,Home
198,20,14,3213.428571,3200.15,24,female,5,5,3,2,3,4,4,3,28,Office
199,8,18,4403.416667,4673.0375,19,male,5,3,6,3,3,4,5,2,65,Unemployed
200,15,17,1422.988235,1533.82,35,male,5,5,4,5,1,1,5,2,66,Home
201,10,15,3634.16,2435.6,25,male,5,3,5,5,5,5,5,5,66,Unemployed
202,15,18,2913.283333,3034.053333,27,female,6,6,6,6,4,4,6,6,100,Unemployed
203,6,18,3068.605556,4251.7,28,female,6,6,6,5,1,3,6,6,78,Office
204,13,16,3599.7,3926.1,33,male,3,1,4,4,1,1,3,1,18,Office
