,no_mask,mask,no_mask_RT,mask_RT,gender,age, have a lot of experience in encountering people who wear masks,I spend a lot of time in public places where mask wearing is common,Mask wearing is strongly enforced in my country of residence,Most people follow mask mandates in my country,"I have difficulties recognizing familiar people (i.e., family members, colleagues, friends) when they are wearing masks","n people wear masks, I have difficulties in deciding whether they are familiar to me or not",Most people that I encounter everyday are wearing masks,"n my daily life, I need to recognize a lot of people who wear masks",maskExp,% of masked faces,maskeffect,maskeffectRatio,maskeffect_RT,maskeffectRatio_RT
78,41,33,1983.356098,2891.712121,28,1,4,1,4,3,6,6,5,1,11,78,8,0.108108108,908.3560237,0.186326833
79,59,45,3184.940678,2404.348889,21,1,4,3,1,2,2,3,4,1,12,61,14,0.134615385,-780.5917891,-0.139658499
80,65,34,2878.138462,2715.411765,28,0,4,3,1,3,4,3,2,1,10,11,31,0.313131313,-162.7266968,-0.029091845
81,57,43,3221.105263,3965.904651,19,0,1,0,5,5,6,5,5,4,10,72,14,0.14,744.799388,0.103631329
82,67,50,2510.022537,3242.0688,24,1,4,5,6,5,4,4,5,2,16,33,17,0.145299145,732.0462627,0.127266105
83,62,58,2381.016129,4572.793103,22,1,5,5,2,3,2,4,2,1,13,44,4,0.033333333,2191.776974,0.31519084
84,46,46,2837.895652,2814.258696,42,1,5,4,1,2,1,1,1,5,15,23,0,0,-23.63695652,-0.004181938
85,66,48,2550.577273,3477.364583,41,0,4,3,4,3,0,0,4,4,15,61,18,0.157894737,926.7873106,0.153748548
86,34,29,4464.282353,5737.465517,44,0,4,5,6,6,5,6,5,5,19,77,5,0.079365079,1273.183164,0.124800493
87,58,55,1889.7,2249.876364,22,1,4,6,6,6,2,3,6,5,21,77,3,0.026548673,360.1763636,0.087008025
88,69,49,2112.775362,3145.22449,19,0,2,5,4,5,4,4,3,5,15,67,20,0.169491525,1032.449127,0.19635777
89,70,64,2233.68,3103.0125,33,1,5,5,5,4,2,2,4,1,15,67,6,0.044776119,869.3325,0.162897244
90,51,42,2416.470588,2754.52381,28,1,4,4,1,1,5,5,2,1,11,22,9,0.096774194,338.0532213,0.065374896
91,58,41,2568.644828,2580.04878,41,1,6,6,5,5,6,6,2,4,18,38,17,0.171717172,11.4039529,0.002214922
92,54,41,2210.116667,4009.404878,20,0,6,6,6,4,1,0,5,5,22,78,13,0.136842105,1799.288211,0.289296885
93,46,38,2232.891304,2781.163158,26,0,4,6,5,5,1,2,5,6,21,94,8,0.095238095,548.2718535,0.109347008
94,56,47,2737.823214,3334.017021,27,0,6,6,6,6,5,4,6,5,23,84,9,0.087378641,596.193807,0.098189969
95,28,29,2711.867857,2167.248276,37,1,0,3,3,5,5,5,5,1,9,78,-1,-0.01754386,-544.6195813,-0.11162259
96,57,51,3678.026316,3341.527451,26,0,2,5,5,5,1,1,6,5,18,83,6,0.055555556,-336.4988648,-0.047937358
97,52,30,3883.582692,3506.346667,28,1,6,6,6,6,5,5,5,5,22,77,22,0.268292683,-377.2360256,-0.051047311
98,47,51,2523.342553,2923.086275,33,1,6,6,5,2,1,1,6,6,24,88,-4,-0.040816327,399.7437213,0.073395565
99,68,32,3970.529412,6222.59375,35,0,1,1,5,5,2,5,5,1,8,61,36,0.36,2252.064338,0.220939579
100,70,54,2563.828571,4139.111111,24,0,1,3,4,5,3,3,4,0,8,33,16,0.129032258,1575.28254,0.235013683
101,60,29,3480.533333,5327.344828,19,1,6,6,5,3,4,4,2,4,18,55,31,0.348314607,1846.811494,0.20967723
102,64,46,4756.995313,5608.576087,18,1,4,5,5,4,3,1,4,5,18,70,18,0.163636364,851.5807745,0.082154735
103,62,47,2233.174194,2828.885106,33,1,5,4,4,4,2,1,1,1,11,33,15,0.137614679,595.7109128,0.117681536
104,45,39,3175.197778,3923.648718,29,1,6,4,0,4,2,3,2,4,16,21,6,0.071428571,748.4509402,0.105432755
105,40,35,2453.315,3211.017143,21,0,1,5,6,5,2,2,4,3,13,56,5,0.066666667,757.7021429,0.133767252
106,52,49,2723.538462,4075.346939,27,0,4,1,1,1,0,3,1,1,7,11,3,0.02970297,1351.808477,0.198827955
107,56,48,3546.955357,8757.758333,20,1,3,2,6,5,3,2,5,1,11,78,8,0.076923077,5210.802976,0.423480229
108,52,45,3395.626923,3066.468889,22,0,3,1,4,3,2,1,1,0,5,66,7,0.072164948,-329.1580342,-0.050936731
109,59,49,2731.064407,3193.506122,19,0,6,4,4,3,2,4,1,1,12,33,10,0.092592593,462.4417157,0.078054892
110,47,41,3292.561702,4467.080488,19,0,2,4,6,5,5,4,5,0,11,10,6,0.068181818,1174.518786,0.151362493
111,53,31,4315.624528,5177.070968,26,1,2,2,2,2,5,6,0,2,6,22,22,0.261904762,861.4464394,0.090748349
112,63,43,2371.015873,3395.72093,28,1,5,5,5,5,1,2,5,6,21,33,20,0.188679245,1024.705057,0.177692357
113,21,32,2234.809524,2520.303125,31,1,5,4,0,2,4,4,2,0,11,44,-11,-0.20754717,285.4936012,0.060039293
114,53,40,7685.279245,4658.8575,28,1,4,5,6,4,2,1,1,5,15,79,13,0.139784946,-3026.421745,-0.245170789
115,65,52,3744.1,4168.017308,19,0,5,5,6,4,1,1,5,2,17,77,13,0.111111111,423.9173077,0.053578238
116,54,39,3597.961111,5001.279487,30,0,4,2,5,4,1,2,3,0,9,55,15,0.161290323,1403.318376,0.163190966
117,60,50,2757.086667,2841.058,22,1,5,1,4,1,1,6,1,1,8,22,10,0.090909091,83.97133333,0.014999851
118,54,49,4741.294444,5687.391837,19,1,5,5,6,5,1,4,5,5,20,32,5,0.048543689,946.0973923,0.090720669
119,69,62,3638.355072,4993.898387,23,1,6,6,3,6,1,1,1,1,14,22,7,0.053435115,1355.543315,0.157032381
120,46,31,3066.708696,5063.580645,36,0,5,4,6,5,1,1,5,0,14,66,15,0.194805195,1996.87195,0.245608965
121,55,49,3169.238182,4924.897959,21,0,2,2,4,4,2,4,2,2,8,33,6,0.057692308,1755.659777,0.216905146
122,48,40,2605.727083,3536.29,28,1,4,5,5,4,5,5,5,5,19,66,8,0.090909091,930.5629167,0.151507706
123,52,39,4636.338462,4629.066667,21,1,6,6,6,4,2,5,4,3,19,55,13,0.142857143,-7.271794872,-0.000784833
124,56,47,2171.6,2896.517021,20,0,4,5,4,4,1,1,5,3,17,66,9,0.087378641,724.9170213,0.143034784
125,57,50,2854.473684,3081.02,28,0,3,1,1,6,4,4,1,3,8,1,7,0.065420561,226.5463158,0.038168066
126,53,44,2728.354717,3773.961364,22,0,6,6,5,5,1,2,5,5,22,84,9,0.092783505,1045.606647,0.160805263
127,54,35,2475.425926,3589.291429,22,1,5,4,6,5,5,5,6,1,16,94,19,0.213483146,1113.865503,0.183663218
128,59,51,2763.288136,3650.235294,21,1,6,6,6,6,3,6,6,6,24,100,8,0.072727273,886.9471585,0.138293275
129,34,33,2467.2,3120.863636,19,0,2,6,5,5,0,2,5,4,17,82,1,0.014925373,653.6636364,0.116974981
130,43,39,3396.862791,4355.215385,24,0,6,6,6,6,4,6,4,3,19,76,4,0.048780488,958.3525939,0.123625249
131,60,49,4118.793333,6122.879592,23,1,6,3,6,6,0,0,6,1,16,78,11,0.100917431,2004.086259,0.19567958
132,60,39,2014.266667,2786.751282,30,0,5,1,2,4,1,2,2,1,9,34,21,0.212121212,772.4846154,0.160900172
133,41,34,2335.731707,2850.029412,21,0,4,5,4,4,3,3,4,2,15,79,7,0.093333333,514.2977044,0.09917497
134,53,41,3090.186792,2788.026829,26,1,4,4,2,2,5,5,2,4,14,56,12,0.127659574,-302.1599632,-0.051403365
135,50,44,2500,4047.772727,20,0,1,1,1,2,3,3,0,0,2,2,6,0.063829787,1547.772727,0.236381559
136,56,48,1667.980357,2658.004167,26,1,5,4,4,5,3,3,5,3,17,79,8,0.076923077,990.0238095,0.228855144
137,49,36,5017.14898,5779,38,1,6,6,6,6,4,4,6,3,21,93,13,0.152941176,761.8510204,0.070566924
138,61,45,2030.318033,3245.122222,24,0,4,2,1,4,1,3,1,1,8,22,16,0.150943396,1214.804189,0.230275414
139,55,49,3270.036364,3608.183673,21,0,5,5,4,4,2,2,3,1,14,66,6,0.057692308,338.1473098,0.049162037
140,64,47,2498.609375,3579.87234,27,0,5,3,4,2,1,4,2,4,14,44,17,0.153153153,1081.262965,0.177883724
141,53,45,4367.858491,6817.506667,19,1,3,1,0,4,0,1,0,1,5,83,8,0.081632653,2449.648176,0.219004757
142,44,36,4007.1,4460.833333,18,0,5,6,5,5,3,5,6,5,22,88,8,0.1,453.7333333,0.053582535
143,58,57,3240.163793,4829.007018,20,0,5,4,5,5,4,4,3,4,16,60,1,0.008695652,1588.843224,0.196902911
144,55,43,3889.329091,5342.681395,28,0,5,5,5,5,1,1,5,2,17,72,12,0.12244898,1453.352304,0.157425331
145,41,45,2975.17561,3042.766667,23,1,5,5,5,4,4,1,4,4,18,66,-4,-0.046511628,67.59105691,0.011231589
146,54,31,3365.066296,3995.027097,20,1,2,1,5,5,4,3,5,1,9,55,23,0.270588235,629.9608005,0.085591414
147,33,32,4781.548485,2154.8125,22,1,5,4,5,5,3,6,4,2,15,66,1,0.015384615,-2626.735985,-0.378690785
148,59,48,2083.520339,3085.547917,28,1,4,5,5,4,5,5,5,5,19,78,11,0.102803738,1002.027578,0.193850715
149,42,46,2385.792857,9707.165,22,1,5,5,6,4,3,5,6,4,20,78,-4,-0.045454545,7321.372143,0.605424432
150,49,43,4144.320408,5033.116279,20,1,3,4,5,3,4,4,2,4,13,43,6,0.065217391,888.7958709,0.096845764
151,54,46,7003.761111,8480.567391,21,0,6,6,6,1,4,3,6,5,23,46,8,0.08,1476.80628,0.095374254
152,68,44,3906.651471,5433.118182,25,1,6,6,6,3,0,3,6,6,24,87,24,0.214285714,1526.466711,0.163437297
153,58,47,3222.089655,3938.317021,26,1,3,6,6,6,4,1,6,6,21,100,11,0.104761905,716.2273661,0.100026074
154,56,44,4118.223214,6861.543182,21,1,5,6,6,4,4,4,5,5,21,95,12,0.12,2743.319968,0.249852307
155,65,53,4019.015385,6085.301887,20,1,2,1,6,4,3,1,6,0,9,22,12,0.101694915,2066.286502,0.20449541
156,66,53,3853.636364,4785.226415,26,0,1,0,6,6,0,0,1,0,2,0,13,0.109243697,931.5900515,0.107837116
157,37,34,7059.318919,6407.4,23,1,3,1,5,4,4,5,4,3,11,44,3,0.042253521,-651.9189189,-0.048409633
158,66,43,3360.907576,3690.874419,20,0,5,4,5,4,3,2,5,2,16,78,23,0.211009174,329.9668429,0.04679198
159,61,44,5572.02459,7092.070455,30,1,6,5,5,4,4,2,5,4,20,67,17,0.161904762,1520.045864,0.120027989
160,46,39,7804.630435,6898.864103,24,1,6,6,6,5,0,0,5,6,23,79,7,0.082352941,-905.7663322,-0.061602113
161,64,49,3776.66875,5267.097959,22,0,4,2,6,6,0,0,2,2,10,55,15,0.132743363,1490.429209,0.16480182
162,52,42,3033.403846,3845.904762,,1,6,6,6,6,1,4,6,6,24,100,10,0.106382979,812.5009158,0.118107932
163,64,50,3931.273437,5103.094,27,1,3,2,4,5,0,5,0,0,5,22,14,0.122807018,1171.820563,0.129706985
164,47,38,4489.717021,7513.068421,22,1,5,6,6,4,4,5,6,4,21,55,9,0.105882353,3023.3514,0.251887482
165,62,57,6093.993548,5086.866667,26,1,2,6,6,5,4,4,6,6,20,78,5,0.042016807,-1007.126882,-0.090075975
166,57,46,3879.400702,7523.251739,39,0,3,1,6,5,1,2,5,1,10,89,11,0.106796117,3643.851037,0.319561703
167,49,39,4441.897959,5124.341026,21,0,4,4,6,6,4,3,5,2,15,72,10,0.113636364,682.4430665,0.071338701
168,51,35,10463.52941,8757.482857,36,0,5,5,2,3,0,1,6,5,21,89,16,0.186046512,-1706.046555,-0.088759454
169,54,48,2838.205556,4032.070833,20,0,3,5,5,4,3,3,5,3,16,33,6,0.058823529,1193.865278,0.173772525
170,65,57,4891.569231,6093.631579,30,0,2,2,5,5,1,1,5,1,10,96,8,0.06557377,1202.062348,0.109425614
171,59,38,4131.781356,4647.281579,21,0,3,2,3,4,2,2,2,2,9,67,21,0.216494845,515.500223,0.058719276
172,55,49,6593.358182,5101.206122,22,1,4,5,5,5,4,4,3,4,16,66,6,0.057692308,-1492.152059,-0.127593643
173,55,32,4202.958182,5578.271875,23,0,6,6,6,5,5,5,5,3,20,88,23,0.264367816,1375.313693,0.140607437
174,63,56,4404.868254,5765.533929,21,1,6,5,6,6,6,6,5,5,21,90,7,0.058823529,1360.665675,0.133786811
175,38,34,2988.636842,4961.947059,25,1,4,6,5,6,5,5,5,5,20,77,4,0.055555556,1973.310217,0.248196892
176,58,53,6081.351724,5803.007547,22,1,6,6,5,3,2,4,4,4,20,55,5,0.045045045,-278.344177,-0.02342105
177,68,59,3534.651471,6701.901695,26,0,5,3,4,1,0,3,3,2,13,66,9,0.070866142,3167.250224,0.309405927
178,61,40,7055.886885,11064.3525,20,1,5,6,6,4,4,2,6,6,23,67,21,0.207920792,4008.465615,0.221214827
179,63,54,4335.1,7101.614815,21,0,2,5,6,6,3,4,5,6,18,88,9,0.076923077,2766.514815,0.241897683
180,61,47,5832.059016,7907.117021,28,1,5,4,6,5,1,1,3,3,15,50,14,0.12962963,2075.058005,0.151032202
181,41,33,2887.348171,51173.12758,31,0,5,6,6,5,2,3,5,3,19,56,8,0.108108108,48285.77941,0.893180808
182,43,32,5088.506977,5614.403125,23,1,4,2,4,5,3,3,5,4,15,44,11,0.146666667,525.8961483,0.049135809
183,67,38,10587.82687,7919.086842,23,0,3,5,6,4,1,3,5,4,17,78,29,0.276190476,-2668.740024,-0.144202327
184,55,39,5586.890909,3496.682051,25,1,3,5,6,6,5,5,6,3,17,90,16,0.170212766,-2090.208858,-0.230108666
185,61,49,2982.560656,2055.212245,37,0,6,5,5,5,1,1,5,5,21,89,12,0.109090909,-927.3484108,-0.184079042
186,37,31,2321.583784,5528.541935,21,0,6,6,5,6,0,0,6,2,20,83,6,0.088235294,3206.958152,0.408523158
187,51,45,2848.488235,3385.346667,23,1,5,5,5,6,4,3,3,1,14,88,6,0.0625,536.8584314,0.086120091
188,41,35,37236.4878,14635.14286,25,0,6,3,6,6,4,3,6,3,18,84,6,0.078947368,-22601.34495,-0.435716878
189,37,43,3581.302703,2735.14186,18,0,6,0,1,6,6,6,0,0,6,100,-6,-0.075,-846.1608422,-0.133961572
190,51,32,2814.84902,3301.70625,21,0,4,6,6,4,1,4,3,5,18,33,19,0.228915663,486.8572304,0.079596637
191,51,42,2213.958824,2872.657143,27,1,2,4,4,4,4,4,4,1,11,42,9,0.096774194,658.6983193,0.129496373
192,50,38,2306.134,3889.25,21,0,3,1,5,1,2,2,1,0,5,21,12,0.136363636,1583.116,0.255531538
193,47,38,2786.52766,3209.623684,22,1,4,6,5,5,6,6,6,5,21,76,9,0.105882353,423.0960246,0.070561265
194,68,47,3431.945588,4761.929787,26,1,4,5,6,5,0,1,3,4,16,50,21,0.182608696,1329.984199,0.162314429
195,57,49,2762.635088,3552.716327,22,0,6,6,6,6,2,5,5,4,21,89,8,0.075471698,790.0812388,0.125104873
196,52,36,2835.384615,3484.472222,25,0,4,2,5,3,2,6,2,1,9,64,16,0.181818182,649.0876068,0.102706062
197,43,38,2893.134884,3881.868421,40,1,2,2,1,5,2,4,1,0,5,1,5,0.061728395,988.7335373,0.145938458
198,60,37,2542.326667,2336.408108,27,0,6,6,4,4,1,1,5,4,21,82,23,0.237113402,-205.9185585,-0.042207369
199,62,52,3359.596774,5900.192308,18,0,6,6,4,4,1,4,5,5,22,66,10,0.087719298,2540.595533,0.274368618
